Estado;Municipio;Parroquia
Distrito Capital;Libertador;23 de Enero
Distrito Capital;Libertador;Altagracia
Distrito Capital;Libertador;Antímano
Distrito Capital;Libertador;Caricuao
Distrito Capital;Libertador;Catedral
Distrito Capital;Libertador;Coche
Distrito Capital;Libertador;El Junquito
Distrito Capital;Libertador;El Paraíso
Distrito Capital;Libertador;El Recreo
Distrito Capital;Libertador;El Valle
Distrito Capital;Libertador;Candelaria
Distrito Capital;Libertador;La Pastora
Distrito Capital;Libertador;La Vega
Distrito Capital;Libertador;Macarao
Distrito Capital;Libertador;San Agustín
Distrito Capital;Libertador;San Bernardino
Distrito Capital;Libertador;San José
Distrito Capital;Libertador;San Juan
Distrito Capital;Libertador;San Pedro
Distrito Capital;Libertador;Santa Rosalia
Distrito Capital;Libertador;Santa Teresa
Distrito Capital;Libertador;Sucre
Amazonas;Alto Orinoco;Alto Orinoco
Amazonas;Alto Orinoco;Huachamacare
Amazonas;Alto Orinoco;Marawaka
Amazonas;Alto Orinoco;Mavaka
Amazonas;Alto Orinoco;Sierra Parima
Amazonas;Atabapo;Atabapo
Amazonas;Atabapo;Ucata
Amazonas;Atabapo;Yapacana
Amazonas;Atabapo;Caname
Amazonas;Atures;Fernando Girón Tovar
Amazonas;Atures;Luis Alberto Gómez
Amazonas;Atures;Pahueña
Amazonas;Atures;Platanillal
Amazonas;Autana;Samariapo
Amazonas;Autana;Sipapo
Amazonas;Autana;Munduapo
Amazonas;Autana;Guayapo
Amazonas;Autana;Isla Ratón
Amazonas;Manapiare;Alto Ventuari
Amazonas;Manapiare;Medio Ventuari
Amazonas;Manapiare;Bajo Ventuari
Amazonas;Manapiare;Manapiare
Amazonas;Maroa;Maroa
Amazonas;Maroa;Victorino
Amazonas;Maroa;Comunidad
Amazonas;Río Negro;Casiquiare
Amazonas;Río Negro;Cocuy
Amazonas;Río Negro;San Carlos de Río Negro
Amazonas;Río Negro;Solano
Anzoátegui;Anaco;Anaco
Anzoátegui;Anaco;San Joaquín
Anzoátegui;Anaco;Buena Vista
Anzoátegui;Aragua;Cachipo
Anzoátegui;Aragua;Aragua de Barcelona
Anzoátegui;Diego Bautista Urbaneja;Lechería
Anzoátegui;Diego Bautista Urbaneja;El Morro
Anzoátegui;Fernando Peñalver;Puerto Píritu
Anzoátegui;Fernando Peñalver;San Miguel
Anzoátegui;Fernando Peñalver;Sucre
Anzoátegui;Francisco del Carmen Carvajal;Valle de Guanape
Anzoátegui;Francisco del Carmen Carvajal;Santa Bárbara
Anzoátegui;Francisco de Miranda;Atapirire
Anzoátegui;Francisco de Miranda;Boca del Pao
Anzoátegui;Francisco de Miranda;El Pao
Anzoátegui;Francisco de Miranda;Pariaguán
Anzoátegui;Guanta;Guanta
Anzoátegui;Guanta;Chorrerón
Anzoátegui;Independencia;Mamo
Anzoátegui;Independencia;Soledad
Anzoátegui;José Gregorio Monagas;Mapire
Anzoátegui;José Gregorio Monagas;Piar
Anzoátegui;José Gregorio Monagas;Santa Clara
Anzoátegui;José Gregorio Monagas;San Diego de Cabrutica
Anzoátegui;José Gregorio Monagas;Uverito
Anzoátegui;José Gregorio Monagas;Zuata
Anzoátegui;Juan Antonio Sotillo;Puerto La Cruz
Anzoátegui;Juan Antonio Sotillo;Pozuelos
Anzoátegui;Juan Manuel Cajigal;Onoto
Anzoátegui;Juan Manuel Cajigal;San Pablo
Anzoátegui;Libertad;San Mateo
Anzoátegui;Libertad;El Carito
Anzoátegui;Libertad;Santa Inés
Anzoátegui;Libertad;La Romereña
Anzoátegui;Manuel Ezequiel Bruzual;Clarines
Anzoátegui;Manuel Ezequiel Bruzual;Guanape
Anzoátegui;Manuel Ezequiel Bruzual;Sabana de Uchire
Anzoátegui;Pedro María Freites;Cantaura
Anzoátegui;Pedro María Freites;Libertador
Anzoátegui;Pedro María Freites;Santa Rosa
Anzoátegui;Pedro María Freites;Urica
Anzoátegui;Píritu;Píritu
Anzoátegui;Píritu;San Francisco
Anzoátegui;San José de Guanipa;San José de Guanipa
Anzoátegui;San Juan de Capistrano;Boca de Uchire
Anzoátegui;San Juan de Capistrano;Boca de Chávez
Anzoátegui;Santa Ana;Pueblo Nuevo
Anzoátegui;Santa Ana;Santa Ana
Anzoátegui;Simón Bolívar;Bergantín
Anzoátegui;Simón Bolívar;Caigua
Anzoátegui;Simón Bolívar;El Carmen.
Anzoátegui;Simón Bolívar;El Pilar
Anzoátegui;Simón Bolívar;Naricual.
Anzoátegui;Simón Bolívar;San Cristóbal
Anzoátegui;Simón Rodríguez;Edmundo Barrios
Anzoátegui;Simón Rodríguez;Miguel Otero Silva
Anzoátegui;General Sir Arthur McGregor;El Chaparro
Anzoátegui;General Sir Arthur McGregor;Tomás Alfaro
Anzoátegui;General Sir Arthur McGregor;Calatrava
Apure;Achaguas;Achaguas
Apure;Achaguas;Apurito
Apure;Achaguas;El Yagual
Apure;Achaguas;Guachara
Apure;Achaguas;Mucuritas
Apure;Achaguas;Queseras del medio
Apure;Biruaca;Biruaca
Apure;Muñoz;Bruzual
Apure;Muñoz;Mantecal
Apure;Muñoz;Quintero
Apure;Muñoz;Rincón Hondo
Apure;Muñoz;San Vicente
Apure;Pedro Camejo;San Juan de Payara
Apure;Pedro Camejo;Codazzi
Apure;Pedro Camejo;Cunaviche
Apure;San Fernando;San Fernando
Apure;San Fernando;El Recreo
Apure;San Fernando;Peñalver
Apure;San Fernando;San Rafael de Atamaica
Apure;San Fernando;Distrito Alto Apure
Apure;Páez;Guasdualito
Apure;Páez;Aramendi
Apure;Páez;El Amparo
Apure;Páez;San Camilo
Apure;Páez;Urdaneta
Apure;Rómulo Gallegos;Elorza
Apure;Rómulo Gallegos;La Trinidad
